id_tisk,cz,id_sbirka,typ,zdroj,xzdroj
51,0,2.0,31,2,0
79,0,,0,2,0
80,0,499.0,31,2,0
136,0,6516.0,31,2,0
188,0,10263.0,31,2,0
189,0,691.0,31,2,0
206,0,,0,2,0
490,0,2.0,31,2,0
520,0,295.0,31,2,0
520,0,8509.0,31,2,0
898,0,2.0,31,2,0
912,0,478.0,31,2,0
912,0,480.0,31,2,0
949,0,11142.0,31,2,0
951,0,168.0,31,2,0
988,0,2.0,31,2,0
989,0,216.0,31,2,0
1027,0,6762.0,31,2,0
1027,0,6516.0,31,2,0
1027,0,12146.0,31,2,0
1027,0,11998.0,31,2,0
1027,0,11826.0,31,2,0
1222,0,2.0,31,2,0
1223,0,11142.0,31,2,0
1223,0,216.0,31,2,0
1223,0,454.0,31,2,0
1251,0,326.0,31,2,0
1423,0,407.0,31,2,0
1423,0,12705.0,31,2,0
1423,0,225.0,31,2,0
1465,0,16078.0,31,2,0
1508,0,474.0,31,2,0
1552,0,253.0,31,2,0
1552,0,827.0,31,2,0
1662,0,16086.0,31,2,0
1662,0,481.0,31,2,0
1690,0,2.0,31,2,0
1691,0,11142.0,31,2,0
1691,0,216.0,31,2,0
1691,0,454.0,31,2,0
1691,0,67.0,31,2,0
1730,0,12362.0,31,2,0
1741,0,827.0,31,2,0
1978,0,11144.0,31,2,0
1978,0,16904.0,31,2,0
2091,0,,0,2,0
2115,0,7293.0,31,2,0
2118,0,6516.0,31,2,0
2141,0,12026.0,31,2,0
2141,0,12027.0,31,2,0
2141,0,12641.0,31,2,0
2141,0,216.0,31,2,0
2326,0,2.0,31,2,0
2328,0,,0,2,0
2330,0,6517.0,31,2,0
2390,0,454.0,31,2,0
2443,0,17319.0,31,2,0
2443,0,12026.0,31,2,0
2443,0,12027.0,31,2,0
2443,0,16463.0,31,2,0
2443,0,568.0,31,2,0
2443,0,529.0,31,2,0
2469,0,454.0,31,2,0
2542,0,645.0,31,2,0
2547,0,16905.0,31,2,0
2683,0,12167.0,31,2,0
2683,0,12092.0,31,2,0
2683,0,16904.0,31,2,0
2687,0,16826.0,31,2,0
2687,0,18781.0,31,2,0
2696,0,12167.0,31,2,0
2696,0,12092.0,31,2,0
2696,0,16904.0,31,2,0
2747,0,16086.0,31,2,0
2816,0,16702.0,31,2,0
2853,0,573.0,31,2,0
2857,0,17626.0,31,2,0
2924,0,19240.0,31,2,0
2946,0,19063.0,31,2,0
2980,0,216.0,31,2,0
2981,0,454.0,31,2,0
2982,0,12125.0,31,2,0
3033,0,11967.0,31,2,0
3033,0,253.0,31,2,0
3033,0,918.0,31,2,0
3033,0,575.0,31,2,0
3069,0,16463.0,31,2,0
3069,0,20331.0,31,2,0
3070,0,573.0,31,2,0
3089,0,16463.0,31,2,0
3097,0,11144.0,31,2,0
3099,0,330.0,31,2,0
3120,0,720.0,31,2,0
3124,0,645.0,31,2,0
3130,0,619.0,31,2,0
3134,0,19293.0,31,2,0
3135,0,2.0,31,2,0
3147,0,20336.0,31,2,0
3148,0,2.0,31,2,0
3151,0,10527.0,31,2,0
3151,0,10544.0,31,2,0
3151,0,10545.0,31,2,0
3172,0,20040.0,31,2,0
3172,0,225.0,31,2,0
3172,0,17626.0,31,2,0
3172,0,20295.0,31,2,0
3172,0,16702.0,31,2,0
3172,0,20326.0,31,2,0
3172,0,20325.0,31,2,0
3186,0,12458.0,31,2,0
3187,0,17679.0,31,2,0
3187,0,573.0,31,2,0
3187,0,574.0,31,2,0
3187,0,576.0,31,2,0
3187,0,773.0,31,2,0
3187,0,575.0,31,2,0
3191,0,253.0,31,2,0
3191,0,918.0,31,2,0
3191,0,575.0,31,2,0
3191,0,773.0,31,2,0
3192,0,573.0,31,2,0
3192,0,574.0,31,2,0
3192,0,576.0,31,2,0
3193,0,634.0,31,2,0
3193,0,16404.0,31,2,0
3219,0,17789.0,31,2,0
3228,0,20040.0,31,2,0
3228,0,225.0,31,2,0
3228,0,17626.0,31,2,0
3228,0,20295.0,31,2,0
3228,0,16702.0,31,2,0
3228,0,20326.0,31,2,0
3228,0,20325.0,31,2,0
3228,0,17629.0,31,2,0
3228,0,11142.0,31,2,0
