id_akce,popis_akce
204,požadavek na RJ vzat zpět
205,nevysloven souhlas
206,"vzato na vědomí bez projednání, postoupeno výboru"
207,"projednat, postoupit výboru pro informaci"
208,předběžné projednávání
209,(nepoužito)
210,"pozm. návrhy, nerozeslány jako sněmovní tisk"
211,rozhodl o projednávání ve zkráceném jednání
212,nebude projednáváno v zkráceném jednání
213,neschváleno projednávání v zkráceném jednání
214,nedosaženo kvora pro hlasování - přerušeno
215,neschváleno pokračování legislativní nouze
216,dokument leg. odboru
217,"pozm. návrhy, netištěno"
218,uplynulo trvání legislativní nouze
219,doporučuje zařadit bez projednání ve výboru
220,"podklad k projednání PS dle par. 1, odst. 2"
221,"přikázán, doporučil projednání v PS"
222,ORGV doporučil projednání v PS
223,žádost o zařazení do schůze PS (věcný výbor)
224,žádost o zařazení do schůze PS (výbor)
225,žádost o zařazení do schůze PS (menšina výboru v oponentní zprávě)
226,žádost o zařazení do schůze PS (klub)
227,žádost o zařazení do nejbližší schůze PS (klub)
228,usnesení výboru je rozhodnutím Sněmovny
229,"nečinný, zařazeno bez projednání ve výboru"
230,projednáno ve věcně příslušném výboru
231,upuštěno od obecné rozpravy
232,předčasné projednání výborem
233,přerušeno uplynutím času pro odpovědi na písemné interpelace
