id_tisku,id_organ,typ,id_hist,id_posl,poradi
174,28,1,126168,,
174,28,2,126169,186.0,
179,33,1,126172,,
179,33,2,126173,123.0,
194,31,1,126177,,
194,31,2,126178,101.0,
195,27,1,126182,,
195,27,2,126183,17.0,
196,32,1,126187,,
196,32,2,126188,72.0,
197,34,1,126192,,
197,34,2,126193,106.0,
198,27,1,126197,,
198,27,2,126198,60.0,
220,37,1,126201,,
220,37,2,126202,127.0,
231,28,1,126205,,
231,28,2,126206,198.0,
241,31,1,126209,,
241,31,2,126210,94.0,
254,37,1,126213,,
254,37,2,126214,191.0,
275,37,1,126217,,
275,37,2,126218,127.0,
290,37,1,126221,,
290,37,2,126222,127.0,
291,37,1,126225,,
291,37,2,126226,127.0,
331,37,1,126229,,
331,37,2,126230,25.0,
434,37,1,126233,,
530,79,1,126236,,
530,73,3,126237,292.0,
530,79,2,126237,283.0,
531,79,1,126240,,
531,73,2,126241,292.0,
531,79,2,126241,294.0,
535,79,1,126244,,
535,73,3,126245,292.0,
535,79,2,126245,283.0,
536,77,1,126248,,
536,77,2,126249,221.0,
550,79,1,126252,,
550,76,2,126253,299.0,
550,79,2,126253,294.0,
566,79,1,126257,,
566,73,2,126258,292.0,
566,79,2,126258,229.0,
567,79,1,126262,,
567,79,2,126263,341.0,
583,79,1,126267,,
583,73,2,126268,292.0,
583,79,2,126268,253.0,
584,79,1,126272,,
584,73,2,126273,321.0,
584,79,2,126273,264.0,
600,79,1,126276,,
600,79,2,126277,341.0,
601,76,1,126280,,
601,76,2,126281,250.0,
601,79,2,126281,278.0,
611,79,1,126284,,
611,79,2,126285,229.0,
612,79,1,126290,,
612,79,2,126291,278.0,
613,79,1,126296,,
613,79,2,126297,365.0,
622,79,1,126302,,
622,79,2,126303,352.0,
625,79,1,126308,,
625,73,3,126309,292.0,
625,79,2,126309,235.0,
635,79,1,126314,,
635,73,3,126315,292.0,
635,79,2,126315,378.0,
651,79,1,126320,,
651,73,2,126321,321.0,
651,79,2,126321,229.0,
653,79,1,126326,,
653,73,2,126327,292.0,
653,79,2,126327,297.0,
664,79,1,126332,,
664,73,3,126333,292.0,
664,79,2,126333,254.0,
669,79,1,126338,,
669,79,2,126339,314.0,
670,79,1,126344,,
670,73,3,126345,292.0,
670,79,2,126345,352.0,
671,79,1,126350,,
671,73,3,126351,292.0,
671,79,2,126351,249.0,
682,79,1,126356,,
682,73,2,126357,292.0,
682,79,2,126357,378.0,
689,79,1,126362,,
689,79,2,126363,365.0,
690,79,1,126368,,
690,73,3,126369,292.0,
690,79,2,126369,235.0,
745,79,1,126374,,
745,79,2,126375,264.0,
745,73,3,126375,292.0,
771,79,1,126381,,
771,79,2,126382,294.0,
776,79,1,126388,,
776,79,2,126389,229.0,
790,79,1,126394,,
790,79,2,126395,290.0,
843,79,1,126400,,
843,76,1,126400,,
843,79,2,126401,341.0,
843,76,2,126401,289.0,
852,79,1,126406,,
852,79,2,126407,378.0,
852,73,2,126407,292.0,
880,79,1,126412,,
880,79,2,126413,297.0,
885,79,1,126418,,
885,73,3,126419,292.0,
885,79,2,126419,254.0,
936,79,1,126424,,
936,79,2,126425,352.0,
936,73,2,126425,292.0,
939,79,1,126430,,
939,79,2,126431,294.0,
939,73,3,126431,292.0,
944,79,1,126436,,
944,79,2,126437,294.0,
944,73,3,126437,321.0,
954,79,1,126442,,
954,79,2,126443,321.0,
954,73,3,126443,292.0,
998,79,1,126448,,
998,79,2,126449,254.0,
1003,79,1,126454,,
1003,79,2,126455,414.0,
1003,73,3,126455,292.0,
1022,79,1,126460,,
1022,79,2,126461,283.0,
1039,79,1,126466,,
1039,79,2,126467,264.0,
1039,73,3,126467,292.0,
1044,72,1,126472,,
1044,72,2,126473,300.0,
1062,79,1,126478,,
1062,79,2,126479,290.0,
1094,79,1,126484,,
1094,79,2,126485,352.0,
1094,73,3,126485,292.0,
1124,79,1,126491,,
1124,79,2,126492,297.0,
1124,73,3,126492,292.0,
1126,69,1,126498,,
1126,69,2,126499,273.0,
1158,79,1,126505,,
1158,79,2,126506,352.0,
1158,73,3,126506,292.0,
1166,79,1,126511,,
1166,79,2,126512,304.0,
1168,79,1,126518,,
1168,79,2,126519,352.0,
1199,79,1,126524,,
1199,79,2,126525,254.0,
1199,73,3,126525,292.0,
1280,79,1,126530,,
1280,79,2,126531,304.0,
1280,73,3,126531,292.0,
1285,69,1,126536,,
1285,69,2,126537,319.0,
1293,79,1,126541,,
1293,79,2,126542,249.0,
1293,75,2,126542,298.0,
1295,79,1,126547,,
1295,79,2,126548,378.0,
1312,79,1,126553,,
1312,79,2,126554,378.0,
1312,73,3,126554,321.0,
1327,79,1,126559,,
1327,79,2,126560,286.0,
1327,73,2,126560,321.0,
1336,79,1,126565,,
1336,79,2,126566,254.0,
1336,74,2,126566,255.0,
1336,73,3,126566,292.0,
1378,79,1,126572,,
1378,79,2,126573,414.0,
1378,72,2,126573,250.0,
1386,76,1,126579,,
